dataset,track_id,file_or_stem,audio_path,ref_beats_path,has_ref_beats,num_ref_beats,num_est_beats,beat_fmeasure,status,note
gtzan_genre,hiphop.00039,hiphop.00039,dataset\mirdata_gtzan_genre\gtzan_genre\genres\hiphop\hiphop.00039.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_hiphop_00039.beats,true,49,26,0.213333,ok,
gtzan_genre,pop.00085,pop.00085,dataset\mirdata_gtzan_genre\gtzan_genre\genres\pop\pop.00085.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_pop_00085.beats,true,60,31,0.307692,ok,
gtzan_genre,classical.00060,classical.00060,dataset\mirdata_gtzan_genre\gtzan_genre\genres\classical\classical.00060.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_classical_00060.beats,true,60,26,0.186047,ok,
gtzan_genre,jazz.00049,jazz.00049,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00049.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00049.beats,true,22,27,0.244898,ok,
gtzan_genre,country.00037,country.00037,dataset\mirdata_gtzan_genre\gtzan_genre\genres\country\country.00037.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_country_00037.beats,true,49,26,0.213333,ok,
gtzan_genre,disco.00089,disco.00089,dataset\mirdata_gtzan_genre\gtzan_genre\genres\disco\disco.00089.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_disco_00089.beats,true,64,25,0.202247,ok,
gtzan_genre,metal.00057,metal.00057,dataset\mirdata_gtzan_genre\gtzan_genre\genres\metal\metal.00057.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_metal_00057.beats,true,64,25,0.202247,ok,
gtzan_genre,jazz.00007,jazz.00007,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00007.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00007.beats,true,31,26,0.175439,ok,
gtzan_genre,classical.00024,classical.00024,dataset\mirdata_gtzan_genre\gtzan_genre\genres\classical\classical.00024.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_classical_00024.beats,true,76,27,0.194175,ok,
gtzan_genre,country.00090,country.00090,dataset\mirdata_gtzan_genre\gtzan_genre\genres\country\country.00090.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_country_00090.beats,true,68,29,0.391753,ok,
gtzan_genre,rock.00075,rock.00075,dataset\mirdata_gtzan_genre\gtzan_genre\genres\rock\rock.00075.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_rock_00075.beats,true,60,26,0.186047,ok,
