dataset,track_id,file_or_stem,annotation_path,audio_path,gt_bpm,pred_tempo_bpm,error_pct,mae_bpm,acc1,acc2,status,note
giantsteps,4955053,4955053.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4955053.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4955053.LOFI.mp3,139.0,94.0,32.3741,45.0,False,False,ok,
giantsteps,3879813,3879813.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3879813.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3879813.LOFI.mp3,142.0,130.0,8.4507,12.0,False,False,ok,
giantsteps,3809763,3809763.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3809763.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3809763.LOFI.mp3,147.0,88.0,40.1361,59.0,False,False,ok,
giantsteps,907837,907837.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\907837.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\907837.LOFI.mp3,174.0,78.0,55.1724,96.0,False,False,ok,
giantsteps,5143186,5143186.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\5143186.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\5143186.LOFI.mp3,139.0,88.0,36.6906,51.0,False,False,ok,
giantsteps,4416888,4416888.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4416888.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4416888.LOFI.mp3,89.0,88.0,1.1236,1.0,True,True,ok,
giantsteps,3630280,3630280.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3630280.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3630280.LOFI.mp3,174.0,94.0,45.977,80.0,False,False,ok,
giantsteps,3169408,3169408.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3169408.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3169408.LOFI.mp3,112.0,83.0,25.8929,29.0,False,False,ok,
giantsteps,1240669,1240669.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\1240669.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\1240669.LOFI.mp3,170.0,86.0,49.4118,84.0,False,True,ok,
giantsteps,3134837,3134837.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3134837.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3134837.LOFI.mp3,139.0,81.0,41.7266,58.0,False,False,ok,
giantsteps,4955051,4955051.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4955051.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4955051.LOFI.mp3,139.0,86.0,38.1295,53.0,False,False,ok,
giantsteps,4743012,4743012.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4743012.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4743012.LOFI.mp3,125.0,86.0,31.2,39.0,False,False,ok,
giantsteps,3519546,3519546.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3519546.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3519546.LOFI.mp3,167.0,103.0,38.3234,64.0,False,False,ok,
giantsteps,3801596,3801596.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3801596.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3801596.LOFI.mp3,179.0,83.0,53.6313,96.0,False,False,ok,
