dataset,track_id,file_or_stem,annotation_path,audio_path,gt_bpm,pred_tempo_bpm,error_pct,mae_bpm,acc1,acc2,status,note
giantsteps,4955053,4955053.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4955053.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4955053.LOFI.mp3,139.0,70.0742,49.5869,68.9258,False,True,ok,
giantsteps,3879813,3879813.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3879813.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3879813.LOFI.mp3,142.0,71.0374,49.9737,70.9626,False,True,ok,
giantsteps,3809763,3809763.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3809763.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3809763.LOFI.mp3,147.0,74.0927,49.5968,72.9073,False,True,ok,
giantsteps,907837,907837.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\907837.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\907837.LOFI.mp3,174.0,86.1328,50.4984,87.8672,False,True,ok,
giantsteps,5143186,5143186.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\5143186.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\5143186.LOFI.mp3,139.0,140.625,1.1691,1.625,True,True,ok,
giantsteps,4416888,4416888.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4416888.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4416888.LOFI.mp3,89.0,89.1029,0.1156,0.1029,True,True,ok,
giantsteps,3630280,3630280.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3630280.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3630280.LOFI.mp3,174.0,173.7132,0.1648,0.2868,True,True,ok,
giantsteps,3169408,3169408.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3169408.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3169408.LOFI.mp3,112.0,56.1736,49.845,55.8264,False,True,ok,
giantsteps,1240669,1240669.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\1240669.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\1240669.LOFI.mp3,170.0,85.421,49.7524,84.579,False,True,ok,
giantsteps,3134837,3134837.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3134837.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3134837.LOFI.mp3,139.0,141.5882,1.862,2.5882,True,True,ok,
giantsteps,4955051,4955051.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4955051.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4955051.LOFI.mp3,139.0,70.0742,49.5869,68.9258,False,True,ok,
giantsteps,4743012,4743012.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4743012.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4743012.LOFI.mp3,125.0,62.4528,50.0378,62.5472,False,True,ok,
giantsteps,3519546,3519546.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3519546.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3519546.LOFI.mp3,167.0,83.0196,50.2877,83.9804,False,True,ok,
giantsteps,3801596,3801596.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3801596.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3801596.LOFI.mp3,179.0,144.5586,19.241,34.4414,False,False,ok,
giantsteps,3419452,3419452.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3419452.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3419452.LOFI.mp3,139.0,70.0742,49.5869,68.9258,False,True,ok,
giantsteps,1569136,1569136.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\1569136.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\1569136.LOFI.mp3,170.0,168.064,1.1388,1.936,True,True,ok,
giantsteps,4018082,4018082.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4018082.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4018082.LOFI.mp3,123.0,60.979,50.4236,62.021,False,True,ok,
giantsteps,4671406,4671406.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4671406.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4671406.LOFI.mp3,127.0,63.024,50.3748,63.976,False,True,ok,
giantsteps,4047428,4047428.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4047428.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4047428.LOFI.mp3,127.0,126.048,0.7496,0.952,True,True,ok,
giantsteps,3789981,3789981.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3789981.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3789981.LOFI.mp3,86.0,178.2058,107.2161,92.2058,False,True,ok,
giantsteps,5137154,5137154.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\5137154.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\5137154.LOFI.mp3,134.0,138.7374,3.5354,4.7374,True,True,ok,
giantsteps,4566667,4566667.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4566667.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4566667.LOFI.mp3,129.0,65.0059,49.6078,63.9941,False,True,ok,
giantsteps,1817444,1817444.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\1817444.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\1817444.LOFI.mp3,172.0,86.1328,49.9228,85.8672,False,True,ok,
giantsteps,3213176,3213176.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3213176.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3213176.LOFI.mp3,174.0,86.8566,50.0824,87.1434,False,True,ok,
giantsteps,4609944,4609944.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4609944.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4609944.LOFI.mp3,144.0,72.5329,49.6299,71.4671,False,True,ok,
giantsteps,3013772,3013772.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3013772.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3013772.LOFI.mp3,83.0,82.6875,0.3765,0.3125,True,True,ok,
giantsteps,1623443,1623443.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\1623443.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\1623443.LOFI.mp3,142.0,70.0742,50.652,71.9258,False,True,ok,
giantsteps,2741734,2741734.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\2741734.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\2741734.LOFI.mp3,179.0,179.7554,0.422,0.7554,True,True,ok,
giantsteps,3297802,3297802.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3297802.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3297802.LOFI.mp3,127.0,63.024,50.3748,63.976,False,True,ok,
