dataset,track_id,file_or_stem,annotation_path,audio_path,gt_bpm,pred_tempo_bpm,error_pct,mae_bpm,acc1,acc2,status,note
giantsteps,4955053,4955053.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4955053.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4955053.LOFI.mp3,139.0,112.3471,19.1747,26.6529,False,False,ok,
giantsteps,3879813,3879813.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3879813.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3879813.LOFI.mp3,142.0,143.5547,1.0949,1.5547,True,True,ok,
giantsteps,3809763,3809763.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3809763.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3809763.LOFI.mp3,147.0,147.6562,0.4464,0.6562,True,True,ok,
giantsteps,907837,907837.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\907837.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\907837.LOFI.mp3,174.0,114.8438,33.9978,59.1562,False,False,ok,
giantsteps,5143186,5143186.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\5143186.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\5143186.LOFI.mp3,139.0,139.6748,0.4855,0.6748,True,True,ok,
giantsteps,4416888,4416888.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4416888.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4416888.LOFI.mp3,89.0,117.4538,31.9706,28.4538,False,False,ok,
giantsteps,3630280,3630280.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3630280.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3630280.LOFI.mp3,174.0,114.8438,33.9978,59.1562,False,False,ok,
giantsteps,3169408,3169408.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3169408.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3169408.LOFI.mp3,112.0,151.9991,35.7135,39.9991,False,False,ok,
giantsteps,1240669,1240669.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\1240669.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\1240669.LOFI.mp3,170.0,172.2656,1.3327,2.2656,True,True,ok,
giantsteps,3134837,3134837.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3134837.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3134837.LOFI.mp3,139.0,139.6748,0.4855,0.6748,True,True,ok,
giantsteps,4955051,4955051.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4955051.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4955051.LOFI.mp3,139.0,139.6748,0.4855,0.6748,True,True,ok,
giantsteps,4743012,4743012.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4743012.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4743012.LOFI.mp3,125.0,126.048,0.8384,1.048,True,True,ok,
giantsteps,3519546,3519546.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3519546.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3519546.LOFI.mp3,167.0,166.7087,0.1744,0.2913,True,True,ok,
giantsteps,3801596,3801596.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3801596.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3801596.LOFI.mp3,179.0,139.6748,21.9694,39.3252,False,False,ok,
giantsteps,3419452,3419452.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3419452.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3419452.LOFI.mp3,139.0,139.6748,0.4855,0.6748,True,True,ok,
giantsteps,1569136,1569136.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\1569136.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\1569136.LOFI.mp3,170.0,112.3471,33.9134,57.6529,False,False,ok,
giantsteps,4018082,4018082.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4018082.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4018082.LOFI.mp3,123.0,123.0469,0.0381,0.0469,True,True,ok,
giantsteps,4671406,4671406.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4671406.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4671406.LOFI.mp3,127.0,126.048,0.7496,0.952,True,True,ok,
giantsteps,4047428,4047428.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4047428.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4047428.LOFI.mp3,127.0,126.048,0.7496,0.952,True,True,ok,
giantsteps,3789981,3789981.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3789981.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3789981.LOFI.mp3,86.0,87.5927,1.852,1.5927,True,True,ok,
giantsteps,5137154,5137154.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\5137154.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\5137154.LOFI.mp3,134.0,112.3471,16.1588,21.6529,False,False,ok,
giantsteps,4566667,4566667.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4566667.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4566667.LOFI.mp3,129.0,129.1992,0.1544,0.1992,True,True,ok,
giantsteps,1817444,1817444.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\1817444.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\1817444.LOFI.mp3,172.0,114.8438,33.2304,57.1562,False,False,ok,
giantsteps,3213176,3213176.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3213176.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3213176.LOFI.mp3,174.0,87.5927,49.6594,86.4073,False,True,ok,
giantsteps,4609944,4609944.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4609944.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4609944.LOFI.mp3,144.0,114.8438,20.2474,29.1562,False,False,ok,
giantsteps,3013772,3013772.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3013772.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3013772.LOFI.mp3,83.0,82.0312,1.1672,0.9688,True,True,ok,
giantsteps,1623443,1623443.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\1623443.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\1623443.LOFI.mp3,142.0,112.3471,20.8823,29.6529,False,False,ok,
giantsteps,2741734,2741734.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\2741734.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\2741734.LOFI.mp3,179.0,90.6661,49.3485,88.3339,False,True,ok,
giantsteps,3297802,3297802.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3297802.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3297802.LOFI.mp3,127.0,166.7087,31.2667,39.7087,False,False,ok,
giantsteps,3678548,3678548.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3678548.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3678548.LOFI.mp3,125.0,126.048,0.8384,1.048,True,True,ok,
giantsteps,4214761,4214761.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4214761.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4214761.LOFI.mp3,123.0,123.0469,0.0381,0.0469,True,True,ok,
giantsteps,4512512,4512512.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4512512.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4512512.LOFI.mp3,127.0,129.1992,1.7317,2.1992,True,True,ok,
giantsteps,4653852,4653852.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4653852.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4653852.LOFI.mp3,139.0,139.6748,0.4855,0.6748,True,True,ok,
giantsteps,4937390,4937390.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4937390.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4937390.LOFI.mp3,139.0,139.6748,0.4855,0.6748,True,True,ok,
giantsteps,3230477,3230477.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3230477.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3230477.LOFI.mp3,101.0,101.3327,0.3294,0.3327,True,True,ok,
giantsteps,4152109,4152109.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4152109.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4152109.LOFI.mp3,127.0,129.1992,1.7317,2.1992,True,True,ok,
giantsteps,1874244,1874244.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\1874244.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\1874244.LOFI.mp3,71.0,93.9631,32.3423,22.9631,False,False,ok,
giantsteps,4038987,4038987.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4038987.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4038987.LOFI.mp3,140.0,139.6748,0.2323,0.3252,True,True,ok,
giantsteps,5162042,5162042.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\5162042.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\5162042.LOFI.mp3,170.0,112.3471,33.9134,57.6529,False,False,ok,
giantsteps,3630279,3630279.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3630279.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3630279.LOFI.mp3,174.0,87.5927,49.6594,86.4073,False,True,ok,
giantsteps,4301518,4301518.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4301518.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4301518.LOFI.mp3,174.0,117.4538,32.4978,56.5462,False,False,ok,
giantsteps,4313859,4313859.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4313859.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4313859.LOFI.mp3,87.0,114.8438,32.0043,27.8438,False,False,ok,
giantsteps,536656,536656.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\536656.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\536656.LOFI.mp3,139.0,135.9992,2.1589,3.0008,True,True,ok,
giantsteps,5268098,5268098.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\5268098.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\5268098.LOFI.mp3,127.0,126.048,0.7496,0.952,True,True,ok,
giantsteps,4624663,4624663.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4624663.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4624663.LOFI.mp3,167.0,109.9568,34.1576,57.0432,False,False,ok,
giantsteps,3485917,3485917.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3485917.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3485917.LOFI.mp3,139.0,139.6748,0.4855,0.6748,True,True,ok,
giantsteps,4017608,4017608.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4017608.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4017608.LOFI.mp3,101.0,206.7188,104.672,105.7188,False,True,ok,
giantsteps,3368054,3368054.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3368054.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3368054.LOFI.mp3,117.0,117.4538,0.3879,0.4538,True,True,ok,
giantsteps,1514866,1514866.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\1514866.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\1514866.LOFI.mp3,139.0,139.6748,0.4855,0.6748,True,True,ok,
giantsteps,5237462,5237462.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\5237462.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\5237462.LOFI.mp3,121.0,120.1853,0.6733,0.8147,True,True,ok,
giantsteps,4810810,4810810.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4810810.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4810810.LOFI.mp3,136.0,135.9992,0.0006,0.0008,True,True,ok,
giantsteps,278893,278893.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\278893.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\278893.LOFI.mp3,147.0,147.6562,0.4464,0.6562,True,True,ok,
giantsteps,3313129,3313129.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3313129.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3313129.LOFI.mp3,85.0,84.7208,0.3285,0.2792,True,True,ok,
giantsteps,3724279,3724279.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3724279.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3724279.LOFI.mp3,139.0,139.6748,0.4855,0.6748,True,True,ok,
giantsteps,3124242,3124242.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3124242.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3124242.LOFI.mp3,129.0,86.1328,33.2304,42.8672,False,False,ok,
giantsteps,4409752,4409752.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4409752.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4409752.LOFI.mp3,174.0,114.8438,33.9978,59.1562,False,False,ok,
giantsteps,4567979,4567979.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4567979.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4567979.LOFI.mp3,147.0,147.6562,0.4464,0.6562,True,True,ok,
giantsteps,4593850,4593850.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4593850.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4593850.LOFI.mp3,127.0,126.048,0.7496,0.952,True,True,ok,
giantsteps,4151958,4151958.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4151958.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4151958.LOFI.mp3,139.0,139.6748,0.4855,0.6748,True,True,ok,
giantsteps,3828895,3828895.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3828895.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3828895.LOFI.mp3,147.0,147.6562,0.4464,0.6562,True,True,ok,
giantsteps,3281282,3281282.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3281282.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3281282.LOFI.mp3,160.0,107.666,32.7087,52.334,False,False,ok,
giantsteps,3443201,3443201.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3443201.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3443201.LOFI.mp3,136.0,135.9992,0.0006,0.0008,True,True,ok,
giantsteps,4300617,4300617.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4300617.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4300617.LOFI.mp3,129.0,129.1992,0.1544,0.1992,True,True,ok,
giantsteps,1982431,1982431.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\1982431.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\1982431.LOFI.mp3,127.0,126.048,0.7496,0.952,True,True,ok,
giantsteps,2676506,2676506.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\2676506.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\2676506.LOFI.mp3,127.0,126.048,0.7496,0.952,True,True,ok,
