dataset,track_id,file_or_stem,annotation_path,audio_path,gt_bpm,pred_tempo_bpm,error_pct,mae_bpm,acc1,acc2,status,note
giantsteps,4955053,4955053.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4955053.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4955053.LOFI.mp3,139.0,139.5349,0.3848,0.5349,True,True,ok,
giantsteps,3879813,3879813.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3879813.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3879813.LOFI.mp3,142.0,142.8571,0.6036,0.8571,True,True,ok,
giantsteps,3809763,3809763.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3809763.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3809763.LOFI.mp3,147.0,146.3415,0.448,0.6585,True,True,ok,
giantsteps,907837,907837.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\907837.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\907837.LOFI.mp3,174.0,171.4286,1.4778,2.5714,True,True,ok,
giantsteps,5143186,5143186.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\5143186.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\5143186.LOFI.mp3,139.0,139.5349,0.3848,0.5349,True,True,ok,
giantsteps,4416888,4416888.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\4416888.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\4416888.LOFI.mp3,89.0,176.4706,98.2816,87.4706,False,True,ok,
giantsteps,3630280,3630280.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3630280.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3630280.LOFI.mp3,174.0,86.9565,50.025,87.0435,False,True,ok,
giantsteps,3169408,3169408.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3169408.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3169408.LOFI.mp3,112.0,113.2075,1.0782,1.2075,True,True,ok,
giantsteps,1240669,1240669.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\1240669.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\1240669.LOFI.mp3,170.0,171.4286,0.8403,1.4286,True,True,ok,
giantsteps,3134837,3134837.LOFI,dataset\giantsteps-tempo-dataset-master\annotations_v2\tempo\3134837.LOFI.bpm,dataset\giantsteps-tempo-dataset-master\audio\3134837.LOFI.mp3,139.0,139.5349,0.3848,0.5349,True,True,ok,
